municipality_name,business_subcategory,source_name,source_method,source_date,observed_count_1km,observed_count_3km,observed_count_5km,observed_count_10km,observed_count_25km,nearest_competitor_distance_km,avg_competitor_rating,chain_share_pct,data_quality_note
Kitchener,Indian Grocery Store,Seeded competitor observation catalog,CSV catalog ready to be replaced by OSM/Places exports,2026-05-01,2,7,13,29,54,0.6,4.1,34,Initial observed-style seed for pipeline validation; replace with live POI extraction later.
Kitchener,Coffee Shop,Seeded competitor observation catalog,CSV catalog ready to be replaced by OSM/Places exports,2026-05-01,9,24,42,86,151,0.2,4.0,42,Initial observed-style seed for pipeline validation; replace with live POI extraction later.
Kitchener,Fitness Center,Seeded competitor observation catalog,CSV catalog ready to be replaced by OSM/Places exports,2026-05-01,2,6,12,26,44,0.8,4.2,51,Initial observed-style seed for pipeline validation; replace with live POI extraction later.
Kitchener,Hair Salon,Seeded competitor observation catalog,CSV catalog ready to be replaced by OSM/Places exports,2026-05-01,6,18,35,74,132,0.3,4.3,18,Initial observed-style seed for pipeline validation; replace with live POI extraction later.
Kitchener,Fast Food Restaurant,Seeded competitor observation catalog,CSV catalog ready to be replaced by OSM/Places exports,2026-05-01,7,21,39,82,148,0.3,3.8,66,Initial observed-style seed for pipeline validation; replace with live POI extraction later.
Waterloo,Indian Grocery Store,Seeded competitor observation catalog,CSV catalog ready to be replaced by OSM/Places exports,2026-05-01,1,4,8,18,38,1.1,4.2,28,Initial observed-style seed for pipeline validation; replace with live POI extraction later.
Waterloo,Coffee Shop,Seeded competitor observation catalog,CSV catalog ready to be replaced by OSM/Places exports,2026-05-01,8,22,40,78,140,0.2,4.1,45,Initial observed-style seed for pipeline validation; replace with live POI extraction later.
Waterloo,Fitness Center,Seeded competitor observation catalog,CSV catalog ready to be replaced by OSM/Places exports,2026-05-01,2,7,14,27,46,0.7,4.4,54,Initial observed-style seed for pipeline validation; replace with live POI extraction later.
Waterloo,Hair Salon,Seeded competitor observation catalog,CSV catalog ready to be replaced by OSM/Places exports,2026-05-01,4,13,26,55,104,0.5,4.4,21,Initial observed-style seed for pipeline validation; replace with live POI extraction later.
Waterloo,Fast Food Restaurant,Seeded competitor observation catalog,CSV catalog ready to be replaced by OSM/Places exports,2026-05-01,5,16,31,65,123,0.4,3.9,68,Initial observed-style seed for pipeline validation; replace with live POI extraction later.
Cambridge,Indian Grocery Store,Seeded competitor observation catalog,CSV catalog ready to be replaced by OSM/Places exports,2026-05-01,1,4,9,22,43,1.0,4.0,31,Initial observed-style seed for pipeline validation; replace with live POI extraction later.
Cambridge,Coffee Shop,Seeded competitor observation catalog,CSV catalog ready to be replaced by OSM/Places exports,2026-05-01,5,15,29,65,121,0.4,4.0,39,Initial observed-style seed for pipeline validation; replace with live POI extraction later.
Cambridge,Fitness Center,Seeded competitor observation catalog,CSV catalog ready to be replaced by OSM/Places exports,2026-05-01,1,5,11,23,42,1.1,4.2,49,Initial observed-style seed for pipeline validation; replace with live POI extraction later.
Cambridge,Hair Salon,Seeded competitor observation catalog,CSV catalog ready to be replaced by OSM/Places exports,2026-05-01,4,12,24,53,98,0.6,4.2,17,Initial observed-style seed for pipeline validation; replace with live POI extraction later.
Cambridge,Fast Food Restaurant,Seeded competitor observation catalog,CSV catalog ready to be replaced by OSM/Places exports,2026-05-01,5,14,28,61,115,0.5,3.7,62,Initial observed-style seed for pipeline validation; replace with live POI extraction later.
Woolwich,Coffee Shop,Seeded competitor observation catalog,CSV catalog ready to be replaced by OSM/Places exports,2026-05-01,1,4,8,18,34,1.4,4.3,29,Initial observed-style seed for pipeline validation; replace with live POI extraction later.
Wilmot,Coffee Shop,Seeded competitor observation catalog,CSV catalog ready to be replaced by OSM/Places exports,2026-05-01,1,3,7,16,30,1.6,4.2,25,Initial observed-style seed for pipeline validation; replace with live POI extraction later.
Wellesley,Coffee Shop,Seeded competitor observation catalog,CSV catalog ready to be replaced by OSM/Places exports,2026-05-01,0,2,5,12,24,2.1,4.1,20,Initial observed-style seed for pipeline validation; replace with live POI extraction later.
North Dumfries,Coffee Shop,Seeded competitor observation catalog,CSV catalog ready to be replaced by OSM/Places exports,2026-05-01,0,2,5,11,22,2.4,4.0,18,Initial observed-style seed for pipeline validation; replace with live POI extraction later.
